KPI / Metric,Page,Description,Formula,Source table(s),Source column(s) / field(s),Notes
Activation Rate,/kpis,"% of enrolled users who started at least one session in the period",100 * Active Users / Enrolled Users,r_user; r_user_session,"r_user.client_id (denominator: COUNT(*) WHERE client_id); r_user_session.user_id, r_user_session.date_created (numerator: COUNT DISTINCT user_id in date range)",Enrolled = all-time headcount for the client; Active = users with >=1 session inside the selected date range. Goal is a fixed 80% (Sugerencia de KPI's Cesar.xlsx spec) -- not derived from data.
Weekly Practice Frequency,/kpis,Average sessions per active week,Sessions in period / COUNT(DISTINCT YEARWEEK(date_created)),r_user_session,"r_user_session.date_created, r_user_session.user_id",Counts weeks that had at least one session anywhere in the client -- not per-user weeks.
MAU Rate,/kpis,"% of enrolled users active in the last 30 days (fixed window, independent of the dashboard date filter)",100 * MAU Users / Enrolled Users,r_user; r_user_session,"r_user_session.user_id, r_user_session.date_created (window: last 30 days ending at the filter's ""to"" date)",Recency window is always exactly 30 days back from the selected range's end date -- widening the dashboard's date filter does not widen this window.
Delta Score,/kpis,Average change in score between a user's first and last scored session in the period,"AVG(last_score - first_score) per user, across users with >=2 scored sessions",r_user_session,"r_user_session.user_id, date_created, raw_closing_data / closing_analysis (score extracted via SCORE_SQL -- see below)",Users with only 1 scored session in the period contribute nothing (no delta to compute).
Readiness Index,/kpis,"% of enrolled users who reached mastery (score >=95) in at least one session in the period",100 * Users-reaching-mastery / Enrolled Users,r_user_session,"raw_closing_data / closing_analysis (score via SCORE_SQL)","Mastery threshold (95) is a code constant (MASTERY_THRESHOLD), not user-configurable."
Mastery Distribution (Basic/Intermediate/Advanced),/kpis,Buckets every scored session by score band,"Basic <75, Intermediate 75-94, Advanced >=95",r_user_session,"raw_closing_data / closing_analysis (score via SCORE_SQL)","Buckets sessions, not users -- one user can land in multiple buckets across sessions."
Adoption Movement Rate,/kpis,"% of sessions where the evaluator's own field records a positive shift in the rep's stance",100 * positive-movement sessions / sessions with the field present,r_user_session,"raw_closing_data JSON field 'intencion_movement' (real observed values: 'Subió' / 'Bajó')",Returns no data (not 0%) for any client/session whose evaluator template doesn't produce this field -- never fabricated.
Commercial Domain scores,/business-lines (and elsewhere),Average score per business domain/block,AVG(score) grouped by domain,r_user_session,"raw_closing_data JSON fields matching pattern 'bloque_<name>_score' (discovered by regex per session, not a hardcoded list)",Which domains exist varies per client/evaluator template -- this is why domain names differ across clients.
Module / solution filter (SIM / COACH / SEGMENT),all Cesar KPI pages,Filters every query above to one training module,--,r_simulator,"r_simulator.category (values: SIM, COACH, SEGMENT/CERTIFICATION -- 4th internal value exists but only these 3 are user-facing); r_user_session.simulator_id joins to r_simulator.ID",Dashboard labels these as ""Simulator"" / ""Master Coach"" / ""Certifier Coach"" -- the underlying schema's own names differ from what's shown on screen.
Session score (used by several KPIs above),n/a (internal),The single score value extracted per session,"CASE expression trying several known evaluator template formats in order, first match wins",r_user_session,"raw_closing_data (JSON: score_bar or overall_score keys) as first choice, falling back to regex-parsing raw HTML in closing_analysis (several known CSS-class markers, one per legacy template)","This is the one formula every KPI above ultimately depends on. Sessions whose evaluator output matches none of the known formats return NULL score, not 0 -- they're excluded, not counted as failing."
Enrolled Users (LMS),/lms,Total learners enrolled in this client's LearnWorlds school,Direct count from the LearnWorlds API,NOT a SQL table -- external LearnWorlds REST API,"LearnWorlds 'users' endpoint (see lib/lms-learnworlds.ts)","Different data source entirely from every KPI above. This is why its card can show ""of 89 users across 196 enrollments · 5 Courses"" -- LearnWorlds returns that composition directly; the Cesar SQL KPIs above don't have an equivalent roster breakdown available from the source query, which is the real reason those cards don't show a similar sub-label today."
Completion Rate (LMS),/lms,"% of enrollments completed",Direct value from the LearnWorlds API per course,NOT a SQL table -- external LearnWorlds REST API,"LearnWorlds course-progress endpoint","Same external source as Enrolled Users above -- current-state snapshot, no historical comparison stored, hence ""noComparison"" on this card."
